# ID x y z r p longitude latitude
87894 -2.02800000e+06 -1.90000000e+04 -2.49620000e+06 3.21630000e+06 6.17340000e+09 -3.13222409e+00 -8.88472150e-01
87895 -1.76500000e+06 -9.91000000e+04 -2.44200000e+06 3.01470000e+06 9.69460000e+09 -3.08550424e+00 -9.44204722e-01
87899 -1.92000000e+05 -8.55000000e+04 -2.22130000e+06 2.23130000e+06 2.01550000e+10 -2.72264369e+00 -1.47608578e+00
87909 -2.18900000e+06 -2.99100000e+05 -2.65020000e+06 3.45030000e+06 1.40060000e+09 -3.00579586e+00 -8.75879748e-01
87911 -1.52900000e+06 -1.63400000e+05 -2.25210000e+06 2.72700000e+06 7.92210000e+09 -3.03512948e+00 -9.71712512e-01
87912 -1.30700000e+06 -1.32000000e+04 -2.14040000e+06 2.50800000e+06 1.71540000e+10 -3.13149353e+00 -1.02252927e+00
87926 -2.31000000e+06 2.46700000e+05 -2.15370000e+06 3.16790000e+06 6.65510000e+09 3.03519938e+00 -7.47559446e-01
87928 -1.79500000e+06 2.56700000e+05 -2.20630000e+06 2.85580000e+06 1.37900000e+10 2.99954741e+00 -8.82875955e-01
87931 -1.06800000e+06 3.92300000e+05 -2.38570000e+06 2.64320000e+06 1.38200000e+10 2.78957023e+00 -1.12572557e+00
87934 -3.59000000e+05 3.77200000e+05 -2.13300000e+06 2.19570000e+06 2.19820000e+10 2.33147798e+00 -1.33124356e+00
87945 -2.47200000e+06 3.47300000e+05 -2.40790000e+06 3.46840000e+06 1.58210000e+09 3.00201270e+00 -7.67362623e-01
87968 -1.10500000e+06 7.02300000e+05 -2.37870000e+06 2.71530000e+06 1.43730000e+10 2.57543165e+00 -1.06757950e+00
87986 -1.58300000e+06 1.04230000e+06 -2.35860000e+06 3.02580000e+06 9.48570000e+09 2.55931172e+00 -8.93861355e-01
87987 -1.21100000e+06 9.91100000e+05 -2.25470000e+06 2.74460000e+06 1.24980000e+10 2.45572376e+00 -9.64043765e-01
87990 -5.75000000e+05 5.86800000e+05 -2.03320000e+06 2.19290000e+06 2.34150000e+10 2.34603819e+00 -1.18679775e+00
88034 -1.38500000e+06 1.58620000e+06 -2.47070000e+06 3.24630000e+06 6.14620000e+09 2.28858097e+00 -8.64979316e-01
88098 -1.36400000e+06 -2.20040000e+06 -2.38060000e+06 3.51710000e+06 0.00000000e+00 -2.12571064e+00 -7.43494628e-01
88111 1.65300000e+06 -1.80330000e+06 -2.38200000e+06 3.41440000e+06 2.84180000e+09 -8.28856592e-01 -7.72089165e-01
88112 -1.77700000e+06 -2.61140000e+06 -1.52100000e+06 3.50580000e+06 3.86510000e+08 -2.16829971e+00 -4.48764248e-01
88123 1.28200000e+06 -1.74640000e+06 -2.02010000e+06 2.96220000e+06 1.05240000e+10 -9.37561115e-01 -7.50438246e-01
88124 1.44900000e+06 -1.59310000e+06 -2.18080000e+06 3.06490000e+06 9.03960000e+09 -8.32731377e-01 -7.91687990e-01
88127 -1.65500000e+06 -1.35220000e+06 -2.42930000e+06 3.23560000e+06 7.68700000e+09 -2.45654792e+00 -8.49277786e-01
88136 5.68000000e+05 -1.32710000e+06 -1.96550000e+06 2.43870000e+06 1.85370000e+10 -1.16638663e+00 -9.37299091e-01
88140 1.21900000e+06 -1.47790000e+06 -1.97220000e+06 2.74950000e+06 1.61370000e+10 -8.81103990e-01 -7.99910960e-01
88144 -2.59100000e+06 -1.59750000e+06 -1.48270000e+06 3.38580000e+06 4.10960000e+09 -2.58908753e+00 -4.53280587e-01
88154 3.24000000e+05 -1.21260000e+06 -2.05170000e+06 2.40520000e+06 1.88490000e+10 -1.30970125e+00 -1.02175799e+00
88156 7.10000000e+05 -1.10930000e+06 -1.82090000e+06 2.24730000e+06 2.14700000e+10 -1.00145244e+00 -9.44597663e-01
88158 9.89000000e+05 -1.50000000e+06 -2.10110000e+06 2.76460000e+06 1.59520000e+10 -9.87887844e-01 -8.63315341e-01
88162 -2.29400000e+06 -8.38800000e+05 -2.44760000e+06 3.45790000e+06 1.24070000e+09 -2.79104476e+00 -7.86419280e-01
88192 9.87000000e+05 -7.60500000e+05 -1.81130000e+06 2.19850000e+06 2.12240000e+10 -6.56503025e-01 -9.68223077e-01
